feature,importance
NPROCS,0.01396944276493823
TOTAL_BYTES_READ,0.02326925669667342
TOTAL_BYTES_WRITTEN,0.17468723063072913
TOTAL_MPIIO_COLL_OPENS,0.05242224452991338
TOTAL_MPIIO_COLL_READS,0.0031938468394781226
TOTAL_MPIIO_COLL_WRITES,0.0035006698480721196
TOTAL_MPIIO_INDEP_WRITES,0.0008829066454547395
TOTAL_POSIX_CONSEC_READS,0.0014416961606932548
TOTAL_POSIX_CONSEC_WRITES,0.001344548162206228
TOTAL_POSIX_FILE_ALIGNMENT,0.00309278508224628
TOTAL_POSIX_MAX_BYTE_WRITTEN,0.005095193529790806
TOTAL_POSIX_MEM_NOT_ALIGNED,0.019436735625822366
TOTAL_POSIX_OPENS,0.10797486734489317
TOTAL_POSIX_SIZE_READ_1K_10K,0.0032322581933178474
TOTAL_STDIO_OPENS,0.021238354412385183
TOTAL_IO,0.013843206430781352
TOTAL_READ_OPS,0.011840473897424889
TOTAL_SIZE_IO_0_100,0.46472484867864616
TOTAL_SIZE_IO_0_1M,0.0024288095772365408
READ_OP_FRAC,0.018239051013599118
WRITE_OP_FRAC,0.01730802728452901
SEQUENTIAL_READ_FRAC,0.0018267438123585147
SEQUENTIAL_WRITE_FRAC,0.03267796922244708
SEQUENTIAL_IO_FRAC,0.0014400070520661323
MACHINE_NAME_ID,0.0008888265642970511
