,0
NPROCS,0.0
TOTAL_BYTES_READ,0.0
TOTAL_BYTES_WRITTEN,118111600760.0
TOTAL_MPIIO_COLL_OPENS,0.0
TOTAL_MPIIO_COLL_READS,0.0
TOTAL_MPIIO_COLL_WRITES,0.0
TOTAL_MPIIO_HINTS,0.0
TOTAL_MPIIO_INDEP_OPENS,0.0
TOTAL_MPIIO_INDEP_READS,0.0
TOTAL_MPIIO_INDEP_WRITES,0.0
TOTAL_MPIIO_NB_READS,0.0
TOTAL_MPIIO_NB_WRITES,0.0
TOTAL_MPIIO_SIZE_READ_AGG_0_100,0.0
TOTAL_MPIIO_SIZE_READ_AGG_100K_1M,0.0
TOTAL_MPIIO_SIZE_READ_AGG_100M_1G,0.0
TOTAL_MPIIO_SIZE_READ_AGG_100_1K,0.0
TOTAL_MPIIO_SIZE_READ_AGG_10K_100K,0.0
TOTAL_MPIIO_SIZE_READ_AGG_10M_100M,0.0
TOTAL_MPIIO_SIZE_READ_AGG_1G_PLUS,0.0
TOTAL_MPIIO_SIZE_READ_AGG_1K_10K,0.0
TOTAL_MPIIO_SIZE_READ_AGG_1M_4M,0.0
TOTAL_MPIIO_SIZE_READ_AGG_4M_10M,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_0_100,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_100K_1M,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_100M_1G,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_100_1K,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_10K_100K,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_10M_100M,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_1G_PLUS,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_1K_10K,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_1M_4M,0.0
TOTAL_MPIIO_SIZE_WRITE_AGG_4M_10M,0.0
TOTAL_MPIIO_SPLIT_READS,0.0
TOTAL_MPIIO_SPLIT_WRITES,0.0
TOTAL_MPIIO_SYNCS,0.0
TOTAL_MPIIO_VIEWS,0.0
TOTAL_POSIX_CONSEC_READS,0.0
TOTAL_POSIX_CONSEC_WRITES,5120.0
TOTAL_POSIX_FDSYNCS,0.0
TOTAL_POSIX_FILE_ALIGNMENT,2684354560.0
TOTAL_POSIX_FILE_NOT_ALIGNED,0.0
TOTAL_POSIX_FSYNCS,0.0
TOTAL_POSIX_MAX_BYTE_READ,0.0
