,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
INTERFACE,5.0,1.0,5.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,1.0,5.0,5.0,7.0,7.0,7.0,3.0,1.0,5.0,1.0,5.0,7.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,7.0,1.0,7.0,3.0,3.0,7.0,1.0,7.0,7.0,1.0,3.0,1.0,7.0,3.0,3.0,1.0,6.0,1.0,6.0,3.0,3.0,7.0
TOTAL_READ_OPS,2560.0,896.0,408067.0,0.0,23051.0,159290022.0,21350000.0,14.0,636.0,4.0,0.0,590949.0,1024.0,0.0,306307382.0,18191.0,64.0,36981.0,3784.0,266.0,5.0,1.0,10752.0,360448.0,100.0,1154.0,84723.0,367.0,696048.0,40.0,4101.0,262144.0,964.5,344483.0,0.0,55816.0,2266.5,11.0,16386.0,10240.0,5.0,3671847.0,695664640.0,32768.0,131072.0,42596.0,40962.0,112.0,116990.5,141.0,64682.5,311.0,262144.0,40.0,3021447.0
TOTAL_BYTES_WRITTEN,28249.0,0.0,653970.0,22452.0,7328768075.0,330459571.0,69158704830.0,269194748.0,1495933268.0,64766573.0,110.0,83038372497.0,3224291.0,164264.0,110.0,8247034428.0,1073743704.0,9417.0,9064888727.0,231136028.0,0.0,6835.0,410268724.0,4014280947.0,14317421.0,0.0,190374076.0,155200531.0,468290000000.0,158.0,4266192295.0,12860118864.0,15794422.0,110.0,0.0,29355747710.0,0.0,3043561.0,110.0,0.0,110.0,110.0,108732.0,88230.0,0.0,135303.5,645000000000.0,432.0,56225398936.0,1018010.5,49168694192.0,998901.0,170150.0,902149892.0,7417642668403.0
NPROCS,256.0,64.0,512.0,64.0,512.0,512.0,32768.0,32.0,512.0,24.0,4096.0,16384.0,512.0,64.0,32768.0,64.0,128.0,512.0,64.0,256.0,512.0,64.0,1024.0,576.0,24.0,64.0,2048.0,16.0,65536.0,4.0,2048.0,8192.0,64.0,32768.0,1024.0,64.0,128.0,1.0,8192.0,1024.0,1.0,262144.0,12288.0,8192.0,65536.0,512.0,4096.0,8.0,32768.0,16.0,8192.0,16.0,65536.0,4.0,196608.0
TOTAL_POSIX_OPENS,1025.0,256.0,8195.0,65.0,8418.0,0.0,0.0,208.0,55.0,17.0,0.0,240910.0,512.0,110.0,0.0,610.0,392.0,4098.0,1892.0,772.0,2.0,1.0,2618.0,24616.0,106.0,258.0,6010.0,17.0,284497.0,19.0,8194.0,81346.0,184.0,32773.0,0.0,4225.0,769.0,38.0,9228.0,9.0,6.0,1310723.0,417799.0,57350.0,65536.0,1026.0,12290.0,42.0,86411.0,37.5,22096.5,106.0,458758.0,39.0,1114115.5
TOTAL_MPIIO_COLL_WRITES,0.0,0.0,0.0,0.0,640.0,0.0,0.0,192.0,0.0,0.0,0.0,1769472.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20480.0,0.0,0.0,144.0,0.0,144.0,0.0,12.0,0.0
TOTAL_MPIIO_COLL_OPENS,0.0,0.0,0.0,64.0,2048.0,0.0,0.0,192.0,0.0,0.0,0.0,193536.0,0.0,0.0,0.0,0.0,256.0,4096.0,72.0,768.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,27468.0,0.0,32768.0,0.0,4160.0,128.0,0.0,9216.0,0.0,0.0,1310720.0,0.0,32768.0,0.0,512.0,4096.0,12.0,0.0,32.0,0.0,96.0,262144.0,12.0,983040.0
TOTAL_STDIO_OPENS,1.0,0.0,1.0,64.0,513.0,27650.0,143854.0,107.0,8.0,2.0,1.0,2613.0,1024.0,0.0,66005.0,290.0,128.0,512.0,131.0,0.0,0.0,64.0,0.0,13312.0,1.0,64.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1028.0,0.0,321.0,0.0,0.0,3.0,0.0,2.0,262147.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,22.0,0.0,38.0,0.0,0.0,201987.5
TOTAL_WRITE_OPS,18.0,0.0,59.0,1680.0,157992.0,20504602.0,1443358.0,391.0,5992.0,899.0,17.0,2641189.0,562384.0,3631.0,17.0,16807.0,7478.0,251.0,148965.0,3241.0,0.0,98.0,2546657.0,71995.0,818.0,0.0,111666.0,1382.0,107951.0,35.0,74063.5,704600.0,2560.0,17.0,0.0,604559255.0,0.0,2626.0,17.0,0.0,17.0,17.0,2149.0,33.0,0.0,2295.0,4027404.0,9.0,127928.0,1824.0,78249.5,1673.0,33.0,708.0,99690962.0
TOTAL_IO,3.1396512985229488,1.70556640625,3124.735583305359,0.021411895751953125,18043.278160572052,287155.5896434784,123200.0440454483,672.7294921875,6975.894772529602,94.3148889541626,0.0001049041748046875,143190.52112293243,38.17487525939941,0.15665435791015625,52745.489308834076,10836.313537120821,1427.8281917572021,4936.296969413756,22227.595393657684,347.0779571533203,0.0089263916015625,0.023610591888427734,1007.4837999343872,55173.52376747131,122.32364463806152,1.397160530090332,2062.323519706726,245.16531562805176,2245515.9009532933,0.5135498046875,8128.127666473389,21877.451004028317,62.009156703948975,5610.22056388855,0.0,238796.08491325376,31.1748046875,3.2539896965026855,31.6261043548584,61.97560119628906,0.012672901153564453,9884.18141365051,5431175.3356285095,23.099767684936523,33.90625,343.51183319091797,820159.912109375,4.144908905029297,279111.76580047613,1.0010251998901367,273455.58361053467,1.029017448425293,184.4122676849365,1147.1308212280271,7151208.401382924
