features,importance
TOTAL_READ_OPS,1
TOTAL_BYTES_WRITTEN,1
NPROCS,1
TOTAL_POSIX_OPENS,1
TOTAL_MPIIO_COLL_WRITES,1
TOTAL_MPIIO_COLL_OPENS,1
TOTAL_STDIO_OPENS,1
TOTAL_WRITE_OPS,1
TOTAL_IO,1
TOTAL_POSIX_FILE_ALIGNMENT,1
TOTAL_POSIX_MODE,1
TOTAL_STDIO_READS,1
TOTAL_MPIIO_SIZE_WRITE_AGG_1M_4M,1
TOTAL_POSIX_MAX_BYTE_WRITTEN,1
TOTAL_IO_OPS,1
TOTAL_BYTES_READ,1
TOTAL_POSIX_WRITES,1
TOTAL_POSIX_SEQ_WRITES,1
TOTAL_POSIX_STATS,1
TOTAL_POSIX_SIZE_READ_0_100,1
TOTAL_SIZE_IO_10K_100K,1
TOTAL_POSIX_SIZE_READ_4M_10M,1
TOTAL_STDIO_WRITES,1
TOTAL_POSIX_MAX_BYTE_READ,1
TOTAL_SIZE_IO_0_100,1
