,TOTAL_READ_TIME,TOTAL_WRITE_TIME,TOTAL_MD_TIME
TOTAL_READ_OPS,0.6463499665260315,,0.4903716444969177
TOTAL_STDIO_OPENS,0.06287387013435364,,
TOTAL_POSIX_MODE,0.053921524435281754,,
TOTAL_POSIX_OPENS,0.05134052783250809,0.013679665513336658,0.15636643767356873
NPROCS,0.05110013857483864,,0.19043241441249847
TOTAL_STDIO_READS,0.03859429433941841,,
TOTAL_STDIO_SEEKS,0.03423618897795677,,
TOTAL_MPIIO_COLL_READS,0.022192707285284996,,
TOTAL_BYTES_READ,0.02117299474775791,,
TOTAL_POSIX_MAX_BYTE_READ,0.018217783421278,,
TOTAL_BYTES_WRITTEN,,0.418829083442688,
TOTAL_MPIIO_COLL_WRITES,,0.255098432302475,
TOTAL_MPIIO_COLL_OPENS,,0.0659530833363533,0.050514526665210724
TOTAL_WRITE_OPS,,0.05321648716926575,
TOTAL_POSIX_MAX_BYTE_WRITTEN,,0.03462639078497887,
TOTAL_POSIX_WRITES,,0.030551837757229805,
TOTAL_MPIIO_SIZE_WRITE_AGG_10K_100K,,0.02836572378873825,
TOTAL_MPIIO_SYNCS,,0.020161623135209084,
TOTAL_POSIX_SEQ_WRITES,,0.01809431053698063,
TOTAL_MPIIO_INDEP_WRITES,,0.017108742147684097,
TOTAL_IO,,0.01679506152868271,
TOTAL_POSIX_SIZE_READ_0_100,,0.01378004252910614,
TOTAL_MPIIO_SIZE_WRITE_AGG_100K_1M,,0.013739481568336487,
TOTAL_SIZE_IO_10K_100K,,,0.0317365936934948
TOTAL_POSIX_FILE_ALIGNMENT,,,0.030522754415869713
TOTAL_IO_OPS,,,0.028684299439191818
TOTAL_POSIX_STATS,,,0.021371349692344666
