original,new
TOTAL_CP_POSIX_OPENS,TOTAL_POSIX_OPENS
TOTAL_CP_POSIX_READS,TOTAL_POSIX_READS
TOTAL_CP_POSIX_WRITES,TOTAL_POSIX_WRITES
TOTAL_CP_POSIX_SEEKS,TOTAL_POSIX_SEEKS
TOTAL_CP_POSIX_STATS,TOTAL_POSIX_STATS
TOTAL_CP_POSIX_MMAPS,TOTAL_POSIX_MMAPS
TOTAL_CP_POSIX_FSYNCS,TOTAL_POSIX_FSYNCS
TOTAL_CP_POSIX_FDSYNCS,TOTAL_POSIX_FDSYNCS
TOTAL_CP_MODE,TOTAL_POSIX_MODE
TOTAL_CP_BYTES_READ,TOTAL_BYTES_READ
TOTAL_CP_BYTES_WRITTEN,TOTAL_BYTES_WRITTEN
TOTAL_CP_MAX_BYTE_READ,TOTAL_POSIX_MAX_BYTE_READ
TOTAL_CP_MAX_BYTE_WRITTEN,TOTAL_POSIX_MAX_BYTE_WRITTEN
TOTAL_CP_CONSEC_READS,TOTAL_POSIX_CONSEC_READS
TOTAL_CP_CONSEC_WRITES,TOTAL_POSIX_CONSEC_WRITES
TOTAL_CP_SEQ_READS,TOTAL_POSIX_SEQ_READS
TOTAL_CP_SEQ_WRITES,TOTAL_POSIX_SEQ_WRITES
TOTAL_CP_RW_SWITCHES,TOTAL_POSIX_RW_SWITCHES
TOTAL_CP_MEM_NOT_ALIGNED,TOTAL_POSIX_MEM_NOT_ALIGNED
TOTAL_CP_MEM_ALIGNMENT,TOTAL_POSIX_MEM_ALIGNMENT
TOTAL_CP_FILE_NOT_ALIGNED,TOTAL_POSIX_FILE_NOT_ALIGNED
TOTAL_CP_FILE_ALIGNMENT,TOTAL_POSIX_FILE_ALIGNMENT
TOTAL_CP_MAX_READ_TIME_SIZE,TOTAL_POSIX_MAX_READ_TIME_SIZE
TOTAL_CP_MAX_WRITE_TIME_SIZE,TOTAL_POSIX_MAX_WRITE_TIME_SIZE
TOTAL_CP_SIZE_READ_0_100,TOTAL_POSIX_SIZE_READ_0_100
TOTAL_CP_SIZE_READ_100_1K,TOTAL_POSIX_SIZE_READ_100_1K
TOTAL_CP_SIZE_READ_1K_10K,TOTAL_POSIX_SIZE_READ_1K_10K
TOTAL_CP_SIZE_READ_10K_100K,TOTAL_POSIX_SIZE_READ_10K_100K
TOTAL_CP_SIZE_READ_100K_1M,TOTAL_POSIX_SIZE_READ_100K_1M
TOTAL_CP_SIZE_READ_1M_4M,TOTAL_POSIX_SIZE_READ_1M_4M
TOTAL_CP_SIZE_READ_4M_10M,TOTAL_POSIX_SIZE_READ_4M_10M
TOTAL_CP_SIZE_READ_10M_100M,TOTAL_POSIX_SIZE_READ_10M_100M
TOTAL_CP_SIZE_READ_100M_1G,TOTAL_POSIX_SIZE_READ_100M_1G
TOTAL_CP_SIZE_READ_1G_PLUS,TOTAL_POSIX_SIZE_READ_1G_PLUS
TOTAL_CP_SIZE_WRITE_0_100,TOTAL_POSIX_SIZE_WRITE_0_100
TOTAL_CP_SIZE_WRITE_100_1K,TOTAL_POSIX_SIZE_WRITE_100_1K
TOTAL_CP_SIZE_WRITE_1K_10K,TOTAL_POSIX_SIZE_WRITE_1K_10K
TOTAL_CP_SIZE_WRITE_10K_100K,TOTAL_POSIX_SIZE_WRITE_10K_100K
TOTAL_CP_SIZE_WRITE_100K_1M,TOTAL_POSIX_SIZE_WRITE_100K_1M
TOTAL_CP_SIZE_WRITE_1M_4M,TOTAL_POSIX_SIZE_WRITE_1M_4M
TOTAL_CP_SIZE_WRITE_4M_10M,TOTAL_POSIX_SIZE_WRITE_4M_10M
TOTAL_CP_SIZE_WRITE_10M_100M,TOTAL_POSIX_SIZE_WRITE_10M_100M
TOTAL_CP_SIZE_WRITE_100M_1G,TOTAL_POSIX_SIZE_WRITE_100M_1G
TOTAL_CP_SIZE_WRITE_1G_PLUS,TOTAL_POSIX_SIZE_WRITE_1G_PLUS
TOTAL_CP_F_POSIX_READ_TIME,TOTAL_POSIX_F_READ_TIME
TOTAL_CP_F_POSIX_WRITE_TIME,TOTAL_POSIX_F_WRITE_TIME
TOTAL_CP_F_POSIX_META_TIME,TOTAL_POSIX_F_META_TIME
TOTAL_CP_POSIX_FOPENS,TOTAL_STDIO_OPENS
TOTAL_CP_POSIX_FREADS,TOTAL_STDIO_READS
TOTAL_CP_POSIX_FWRITES,TOTAL_STDIO_WRITES
TOTAL_CP_POSIX_FSEEKS,TOTAL_STDIO_SEEKS
TOTAL_CP_SYNCS,TOTAL_MPIIO_SYNCS
TOTAL_CP_SIZE_READ_AGG_0_100,TOTAL_MPIIO_SIZE_READ_AGG_0_100
TOTAL_CP_SIZE_READ_AGG_100_1K,TOTAL_MPIIO_SIZE_READ_AGG_100_1K
TOTAL_CP_SIZE_READ_AGG_1K_10K,TOTAL_MPIIO_SIZE_READ_AGG_1K_10K
TOTAL_CP_SIZE_READ_AGG_10K_100K,TOTAL_MPIIO_SIZE_READ_AGG_10K_100K
TOTAL_CP_SIZE_READ_AGG_100K_1M,TOTAL_MPIIO_SIZE_READ_AGG_100K_1M
